Parlor name,Phone number,Address
Sanford Massage,815-668-3068,"728 N Prospect Street suite 109; Rockford, IL, 61107"
Asian Bodywork,917-868-8067,"55 Augustine Herman HYW; Elkton, MD, 21921"
Massage,816-812-3803,"710 W MAIN ST #E; Blue Springs, MO, 64015"
Magical Massage,913-732-2842,"527 N Mur-Len Rd #A; Olathe, KS, 66062"
Spa 713,281-920-0202,"11396 Westheimer Rd; Houston, TX, 77077"
K Spa,916-386-2888 or 916-245-9349,"8345 Folsom Blvd #117; Sacramento, CA, 95826"
Moonlight Gardens,858-231-5388,"6191 Cornerstone Ct #104; San Diego, CA, 92121"
Blue Green Massage,619-825-3409,"7364 El Cajon Blvd #212; San Diego, CA, 92115"
Sky Therapy Massage,408-615-1338,"826 N Winchester Blvd #2B; San Jose, CA, 95128"
N&O Bodywraps,321-877-4065,"205 N Banana River Dr #105; Merritt Island, FL, 32952"
Sunflower SPA,978-455-9303,"11 Broadway Rd; Dracut, MA, 01826"
Emperor Medical Group,626-216-3305,"701 W Valley Blvd, Suite 84; Alhambra, CA, 91803"
Angel Massage,626-518-2716,"10012 Garvey Ave; South El Monte, CA, 91733"
Pink One,714-963-1500,"9053 Garfield Ave.; Fountain Valley, CA, 97208"
Hollywood Spa,832-781-4746,"12320 Bellaire Blvd Ste B6; Houston, TX, 77072"
NRG Massage,916-472-6547,"1137 Smith Ln Suite # 8,; Roseville, CA, 95661"
Max Relax,805-827-4088,"840 Arneill Rd; Camarillo, CA, 93010"
J Spa,929-333-1784,"35-54 Steinway St; Astoria, NY, 11103"
Dream Spa,505-265-1867,"201 San Pedro Dr NE; Albuquerque, NM, 87108"
Lily Massage Spa,715-574-3589,"2108 N 6th St; Wausau, WI, 54404"
Barfy Foot Massage,281-676-5173,"14773 Memorial Dr; Houston, TX, 77079"
VIP Total Massage,915-858-1019,"1155 Zaragoza Rd, Suite B-106; El Paso, TX, 79907"
Crystal Healing Massage,808-941-9779,"1507 S. King St., Suite104; Honolulu, HI, 96826"
Apple Spa Massage,805-929-4535,"671 W Tefft St; Nipomo, CA, 93444"
Willow Spa,408-561-7804,"351 Willow st; San Jose, CA, 95110"
Mardi Gras Modeling,512-832-8858,"10600 N I-35; Austin, TX, 78753"
Kiku Spa,954-420-9748,"81 North Deerfield Ave. Unit 1; Deerfield Beach, FL, 33441"
Miracle Chinese Massage,605-271-9959,"3404 S Western Ave; Sioux Falls, SD, 57105"
BtoB Spa,929-382-1880,"164-07 Depot rd; Queens, NY, 11358"
Wellness Center,929-245-0091,"4870 Hylan Blvd; Staten Island, NY, 10312"
Oriental massage,347-348-6995,"34 Saco Ave #D; Old Orchard Beach, ME, 04064"
Island Dream Spa,415-664-8989,"339A W Portal Ave; San Francisco, CA, 94127"
Igo Spa,408-238-2100,"2054 Tully Rd; San Jose, CA, 95122"
LE Health Center,310-482-3552,"12820 Venice Blvd; Venice, CA, 90066"
Relaxation Station,786-359-4800,"556 Hialeah drive; Hialeah, FL, 33010"
Water Front Therapeutic,718-948-2999,"101 Ellis St; Staten Island, NY, 10307"
Therapy Spa,772-285-1158,"2836 S.E. Federal Hwy.; Stuart, FL, 34994"
Spring Spa,618-772-7292,"2101 N Center Street; Maryville, IL, 62062"
8 spa,253-277-8568,"8459 S 212th St; Kent, WA, 98032"
Columbian Way Massage,206-557-3212,"4364 15th Ave S; Seattle, WA, 98108"
Reflection Massage Spa,206-624-7898,"661 S Jackson St; Seattle, WA, 98104"
Blue Moon Spa,772-291-2057,"611 SW Federal Hwy #E; Stuart, FL, 34994"
Juga Spa,619-900-8902,"2509 El Cajon Blvd; San Diego, CA, 92104"
Skyline Spa,212-265-3837,"234 W 56th St; New York City, NY, 10019"
Eternity Day Spa,661-298-7118,"19983 Soledad Canyon Rd; Santa Clarita, CA, 91351"
Healing Spa,714-226-0398,"2601 W Ball Rd #212; Anaheim, CA, 92804"
Blue Danube Spa,408-269-6666,"5837 Camden Ave; San Jose, CA, 95124"
Moon Massage,209-752-2282,"3008 E. Hammer Ln STE 115; Stockton, CA, 95212"
Latinas Massage,323-784-5998,"5143 Alhambra Ave; Los Angeles, CA, 90032"
Great Wall Massage,770-371-4011,"6199 Hwy 92, Suite 188; Acworth, GA, 30102"
Rainbow Massage,937-430-7338,"8027 N Main St; Dayton, OH, 45415"
Sino Foot Spa,408-916-6879,"410 W Capitol Expressway; San Jose, CA, 95136"
Central Therapy,910-399-8635,"5202 Carolina Beach Rd #2; Wilmington, NC, 28412"
Flint Massage,810-820-8829,"3710 Davison Rd.; Flint, MI, 48506"
Ocean Spa,408-293-6995,"965 S Bascom Ave; San Jose, CA, 95128"
Mayflower Massage,559-437-3740,"5678 N. Palm Ave #107; Fresno, CA, 93704"
A & A Therapy Center,973-786-6812,"141 Main St.; Andover, NJ, 07821"
Fancy Foot Massage,608-298-7234,"1732 Thierer Rd; Madison, WI, 53704"
S Massage,224-258-4870,"688 S. Lake St; Mundelein, IL, 60060"
Paloma Salon,720-692-2744,"3350A South Knox Ct; Englewood, CO, 80110"
Hands of Gold SPA,847-926-3396,"502 Central Ave; Highland Park, IL, 60035"
Angel Massage Spa,559-222-1123,"3636 N. First; Fresno, CA, 93726"
Coco's,207-657-2121,"4 Portland Rd; Gray, ME, 04039"
Health Massage,540-746-5218,"413-C South St; Front Royal, VA, 22630"
Magia Massage,713-483-0125,"2694 Marilee Ln; Houston, TX, 77057"
FeelSide Spa,858-275-4817,"3865 Clairemont Dr; San Diego, CA, 92117"
Sun Massage,503-548-3317,"9119 SW Barbur Blvd; Portland, OR, 97219"
Sunflower Massage,559-417-8781,"1434 W. Shaw Ave #A; Fresno, CA, 93711"
Nausicaa Foot Spa & Body Massage,513-302-4213,"3818 North Bend Rd; Cheviot, OH, 45211"
Blossom Spa,510-688-2799,"320 10th St. #304; Oakland, CA, 94607"
Thai Massage,412-276-2191,"39 W Main Street; Carnegie, PA, 15106"
Best Acupuncture,951-685-1020,"8832 Limonite Ave #C; Riverside, CA, 92509"
AVI Massage,818-848-6848,"640 N Keystone St, Suite A; Burbank, CA, 91506"
QQ Spa,832-807-6699,"4915 FM 2920; Spring, TX, 77388"
Sakura Health Spa,904-571-5192,"8613 Old Kings Road S, Suite 401; Jacksonville, FL, 32219"
Original Thai Spa,559-261-2620,"6640 N Blackstone Ave; Fresno, CA, 93710"
Blue Sky Body Work,917-821-7899,"477 58th St; Brooklyn, NY, 11220"
1 Spa,720-379-5349,"1355 Wadsworth Boulevard; Lakewood, CO, 80214"
Secret Spa,408-495-0612,"3380 El Camino Real; Santa Clara, CA, 95051"
Orange Spa,845-591-0854,"276 Windsor Hwy; New Windsor, NY, 12553"
J & A Spa,510-226-6282,"4171 Cushing Pkwy; Fremont, CA, 94538"
Asian Bodywork,718-205-7419,"71-32 Roosevelt Ave; Elmhurst, NY, 11372"
Massage Shop,424-263-5420,"910 Lomita Blvd, Suite G; Harbor City, CA, 90710"
333 Spa,713-213-0150,"2730 S Richey St.; Houston, TX, 77017"
Skin & Body Treatments,561-855-8955,"1607 Prosperity Farms Rd; Lake Park, FL, 33403"
CEO SPA,408-476-2548,"2493 ALVIN AVE; San Jose, CA, 95121"
Healing Bodyworks,703-532-2000,"5133 Lee Highway; Arlington, VA, 22207"
Best Massage,562-387-7188,"9505 Telegraph Rd; Pico Rivera, CA, 90660"
Kings spa,856-685-7777,"6 E Miami Ave; Cherry Hill, NJ, 08034"
Lotus Asian Massage,239-850-3912,"311 Del Prado Blvd S #9; Cape Coral, FL, 33909"
Massage Therapy,?(818) 938-9006,"6730 White Oak Ave, Suite A; Van Nuys, CA, 91406"
Asian Massage,614-421-7558,"2779 Martin Road; Dublin, OH, 43017"
Sun Massage,520-304-6322,"4005 N Flowing Wells; Tucson, AZ, 85705"
Top 1 Spa,646-833-9710,"6410 8th Ave; Brooklyn, NY, 11220"
Milan Spa,269-213-8805,"36-26 Greenpoint Ave; Long Island City, NY, 11101"
Praiya Spa & Massage,424-284-9816,"11009 Burbank Blvd; North Hollywood, CA, 91601"
B & C Spa,669-234-7427,"1692 Tully Road; San Jose, CA, 95122"
Ocean 21 Spa,832-891-2345 or 713-382-5351,"12315 Westheimer Rd Suite B; Houston, TX, 77077"
1014 Massage,724-384-1974,"1014 3rd Ave; New Brighton, PA, 15066"
Roscoe Therapy,818-855-3660,"8332 Sepulveda Blvd. 7; North Hills, CA, 91343"
VIP Day Spa,323-255-6588,"4117 Verdugo Dr; Los Angeles, CA, 90065"
Best Massage,415-829-8981,"16 Waverly Pl; San Francisco, CA, 94108"
Pressure Point Massage,408-493-6153,"3144 A Story Rd; San Jose, CA, 95127"
Ivy Spa,443-248-0039,"7448 Baltimore Annapolis Blvd #2F; Glen Burnie, MD, 21061"
Nuru Rubs,786-703-7545,"607 NE 123rd Street; Miami, FL, 33161"
Swedish Health Spa,814-943-2868,"1501 E Pleasant Valley Blvd; Altoona, PA, 16602"
Green Leaf Massage,626-579-6666,"10533 Garvey Ave #C; El Monte, CA, 91733"
A Golden Touch,318-686-1186,"3110 Bert Kouns Industrial Loop; Shreveport, LA, 71118"
Sunshine Asian Bodyworks,781-269-5789,"856 Washington st; Norwood, MA, 02062"
Bur Ger Shack,858-457-8272,"9500 McGill Way; San Diego, CA, 92093"
Kung Fu Foot Care,410-252-6667,"1711 York Rd; Lutherville Timonium, MD, 21093"
Crystal Spa,917-913-0401,"495 Schutt Rd #6; Middletown, NY, 10940"
Bluefish,646-515-8523,"1615 grand ave; Baldwin, NY, 11510"
The Ultimate Spa,718-229-2668,"254-17 Northern Boulevard; Little Neck, NY, 11362"
Landpark Healing Massage Therapy,916-456-5727,"2030 Sutterville Rd.; Sacramento, CA, 95822"
Tea massage,971-777-3388,"15660 SW Pacific Hwy #A4; Portland, OR, 97224"
Royal Thai Massage,281-856-2561,"5700 Hwy 6 N #230; Houston, TX, 77084"
J&K Massage,916-868-4471,"6645 Stockton Blvd. #400; Sacramento, CA, 95823"
Lucky Feet,408-923-3888,"2141 Tully Rd; San Jose, CA, 95122"
Harmony Wellness Spa,408-564-8836,"93 N Bascom Ave; San Jose, CA, 95128"
Enjoy Massage & Sap,720-454-4069,"395 W. Littleton Blvd.; Littleton, CO, 80120"
YaYa Spa,832-207-6288,"13711 westheimer; Houston, TX, 77077"
Asian Hands Massage,805-268-0082,"2524 S. Broadway; Santa Maria, CA, 93455"
Tokyo Sauna,406-252-2429,"1810 1st Ave N; Billings, MT, 59105"
Angel Massage,320-774-3020,"52 33rd Ave S; St Cloud, MN, 56301"
Blue Ocean Spa,862-684-0065,"2282 Hamburg Tpke & St Moritz Pl; Wayne, NJ, 07470"
Sunny Spa,708-948-7794,"1053 Madison St; Oak Park, IL, 60302"
Lily Spa,252-541-1335,"1010 Julian R. Allsbrook Hwy; Roanoke Rapids, NC, 27870"
Mac Japanese Spa,347-978-1515,"136-31 41st Ave; Flushing, NY, 11355"
Eden Massage,513-272-0008,"7710 Shawnee Run Rd; Cincinnati, OH, 45243"
Rose Massage,559-222-6688,"2601 E Ashlan Ave; Fresno, CA, 93726"
Brazilian Massage,973-857-2456,"571 Bloomfield Ave #203; Verona, NJ, 07044"
Gold Spa,832-606-0277,"304 N Fort Hood st, Killeen; Killeen, TX, 76541"
Kang Tai Massage,774-315-6297,"16 Cottage St.; Franklin, MA, 02038"
Asian Body Work,317-966-6665,"5212 Madison Ave, Suite B; Indianapolis, IN, 46227"
Butterfly Spa,408-608-5703,"2290 S. Bascom Avenue; Campbell, CA, 95008"
Angel x wings,917-545-9802,"254 Jackson st; Brooklyn, NY, 11206"
Royal Massage,813-374-9952,"1441 E Fletcher Ave, Suite 135; Tampa, FL, 33612"
Far East Therapy,610-380-1591,"2491 E Linclon Hwy; Coatesville, PA, 19320"
Ivy's Massage,626-861-7445,"109 Plymouth St NW; Le Mars, IA, 51031"
New Healing Studio,513-978-0646,"5823 Bramble Ave; Cincinnati, OH, 45227"
New Energy Therapy,646-961-2289,"850 7th Avenue, 8th Floor, #803; New York City, NY, 10019"
Asian Style Massage,563-613-4212,"1826 N 2nd St; Clinton, IA, 52732"
Asian Massage Spa,256-361-7096,"7910 Memorial Pkwy SW; Huntsville, AL, 35802"
International Ladies VIP,909-545 1962,"831 W Valley Blvd; Colton, CA, 92324"
Watters Massage,469-226-0196,"614 S Watters Rd Bld A Ste 100; Allen, TX, 75013"
B4 spa,702-490-1055,"1500 e Sahara ave suite B4; Las Vegas, NV, 89104"
Asian Exotic Massage,818-761-6818,"10648 W Magnolia Blvd; North Hollywood, CA, 91601"
Eastern Massage,425-353-0911,"5705 Evergreen Way, Ste 100; Everett, WA, 98208"
Oasis Massage,513-248-2100,"114 Main St; Milford, OH, 45150"
H2O Massage,323-654-8785,"1011 N Fairfax Ave; West Hollywood, CA, 90046"
Kimura Spa,727-841-8563,"6602 US 19; New Port Richey, FL, 34562"
Ally's Energy Healing & Wellness Center,702-781-0794,"4510 South Arville Ste C; Las Vegas, NV, 89103"
Pure Harmony Spa,408-866-8899,"1426 Saratoga Ave; San Jose, CA, 95070"
Petite Massage,714-640-9616,"6921 CERRITOS AVE; Stanton, CA, 90680"
Best Massage,713-822-6086,"9777 Harwin Dr, Suite 109; Houston, TX, 77036"
Cindy's Family Massage,412-291-8979,"1507 5th Ave; Pittsburgh, PA, 15219"
Tranquil Aromatherapy,253-243-7686,"24202 104th ave SE; Kent, WA, 98030"
Luxury Asian Massage,925-321-1321,"4450 Black Ave #D; Pleasanton, CA, 94566"
Rainbow Day Spa,925-288-9288,"3607 Clayton Rd Ste. C; Concord, CA, 94521"
Hi Q Massage,719-598-1858,"3326 Austin Bluffs ste 120; Colorado Springs, CO, 80918"
Elgary Massage Therapy,408-442-5932,"162 Saratoga Los Gatos Road; Los Gatos, CA, 95032"
Spa Independents,347-922-6846,"2109 Bath Ave; Brooklyn, NY, 11214"
Garvey Therapy,626-448-1807,"9611 Garvey Ave #201A; South El Monte, CA, 91733"
Asian Playdate,646-262-5531,"34 W 28th St; New York City, NY, 10001"
Red Bean Massage Spa,312-402-6378,"1297 Toronto Road; Springfield, IL, 62707"
Lucky Spa,619-597-5367,"4240 Bonita Rd. Ste B; Bonita, CA, 91902"
China Spa,702-578-6461,"2660 South Maryland Parkway #22; Las Vegas, NV, 89109"
Apple Spa,408-701-8841,"1692 Tully Rd #16; San Jose, CA, 95122"
Asian Massage,310-905-3037,"8624 W Pico Blvd; Los Angeles, CA, 90035"
Chl spa,361-579-3130,"106 jason st; Victoria, TX, 77901"
Oasis Spa,718-857-0688,"286 Flatbush Ave; Brooklyn, NY, 11215"
The Body Therapeutic,916-326-5600,"7025 South Land Park Dr.; Sacramento, CA, 95831"
QTspa,720-287-1702,"5296 marshall st; Arvada, CO, 80001"
Himora of Tulsa,918-398-7778,"6935 E 38th St #A; Tulsa, OK, 74145"
Blink Spa,718-351-1818,"302 New Dorp Ln; Staten Island, NY, 10306"
Longevity Massage,248-209-6129,"7412 Haggerty Rd; West Bloomfield Township, MI, 48322"
True Life Massage Spa,310-318-1891,"1951 Artesia Blvd #108; Redondo Beach, CA, 90278"
Midway Spa,619-738-8885,"3619 Midway Dr #K; San Diego, CA, 92110"
Seasonal Massage,818-242-2208,"1428 Colorado St; Glendale, CA, 91205"
Zen Chinese Thai Massage,515-276-4685,"8421 University Blvd #I; Clive, IA, 50325"
New Asian Massage,917-420-3112,"25-15 Fair Lawn Ave; Fair Lawn, NJ, 07410"
Apple Spa,610-518-6277,"3826 W Lincoln Hwy; Downingtown, PA, 19335"
Diamond Spa,714-522-2731,"7851 Valley View St; La Palma, CA, 90623"
Renew Spa,646-203-1633,"John St & Main St; Fort Lee, NJ, 07024"
Sunshine Spa,949-707-1322,"24741 Alicia Pkwy, Suite C; Laguna Hills, CA, 92653"
Royal Massage,718-332-2225,"2225 Voorhies Ave; Brooklyn, NY, 11235"
May Flower Massage,206-775-1317,"14307 A1 Greenwood Ave N; Seattle, WA, 98133"
Good luck relax center,312-478-3816,"404 S State Street; Belvidere, IL, 61008"
Pit Stop,714-650-7980,"9050 Slauson Ave; Pico Rivera, CA, 90660"
Corner massage,858-214-7914,"7902 Dagget st # A; San Diego, CA, 92111"
Asian Foot Spa,608-421-8265,"6717 Odana Road, #12; Madison, WI, 53719"
River Hot Stone,770-297-6703,"3000 McEver Rd; Gainesville, GA, 30504"
Oriental Wellness Spa,301-459-4600,"9470 Annapolis Rd #310; Lanham, MD, 20706"
The One Spa,408-724-3187,"899 s 7th st; San Jose, CA, 95126"
"Bella One, Inc.",630-582-0222,"25W319 Lake St; Roselle, IL, 60172"
Majestic Massage,412-927-9845,"5304 Park ave; Bethel Park, PA, 15102"
Yo Spa,702-789-0467,"8665 W Flamingo Rd; Las Vegas, NV, 89147"
Cleo Day Spa,669-235-5535,"2166 Story Rd; San Jose, CA, 95122"
Golden Foot,408-926-6362,"1937 Tully Rd; San Jose, CA, 95122"
Health Foot Spa,952-217-4648,"11012 Cedar Lake Rd; Minnetonka, MN, 55305"
Urban Sky Salon,408-452-7433,"1150 Murphy Ave; San Jose, CA, 95131"
Wellness SPA,254-319-3172,"212 N Fort Hood Street; Killeen, TX, 76541"
Elegant Massage,310-406-3653,"3881 Pacific Coast Highway; Torrance, CA, 90505"
C & L Health Center,408-266-1328,"2103 Lincoln Ave, Suite D; San Jose, CA, 95125"
Asian Body Works,513-448-8128,"4217 Richardson Rd; Independence, KY, 41051"
6 Star Villa Foot Spa,626-248-0964,"20915 Golden Springs Dr; Diamond Bar, CA, 91789"
Hongs Spa,619-292-6042,"5506 University Avenue; San Diego, CA, 92105"
Illusion Relaxation,972-243-7933,"11181 Denton Dr., # 104; Dallas, TX, 75229"
Brazil spa,312-445-1004,"3108 N Laramie Ave; Chicago, IL, 60641"
All Stars Day Spa,732-682-8472,"1757 Adams Ave; Toms River, NJ, 08753"
Victoria Spa,281-531-6689 & 832-533-0903,"12729 Westheimer Rd; Houston, TX, 77082"
Dream Spa,516-434-8788,"2188 Jericho Turnpike; Garden City, NY, 11040"
Lavender Spa,714-766-9229,"8209 Garden Grove Blvd; Garden Grove, CA, 92844"
Asian Massage Care,408-324-6547,"4460 Black Ave #B; Pleasanton, CA, 94566"
Top Feet Massage,469-317-0069,"621 White Hills Dr; Rockwall, TX, 75087"
Blue Lion,832-520-1086,"9107 FM 723 Rd Suite 200; Houston, TX, 77406"
Sun Reflexology Spa,302-897-0901 & 302-827-7971,"155 S Dupont Hwy; New Castle, DE, 19720"
Asian Bodywork,929-424-1539,"38-13 59th St; Woodside, NY, 11377"
Blue Massage,302-359-2186,"28408 DuPont Blvd; Millsboro, DE, 19966"
Cloud 9 Spa,614-808-4871,"2002 Crown Plaza Dr; Columbus, OH, 43235"
Joy Wellness Center,323-735-4569,"1927 S Western Ave; Los Angeles, CA, 90018"
Jade Spa,408-758-1838,"1530 Alum Rock Ave; San Jose, CA, 95116"
Golden Massage Spa,714-733-0714,"7136 Garden Grove Blvd; Westminster, CA, 92683"
Flower Spa,949-415-6772,"24178 Alicia Pkwy; Mission Viejo, CA, 92691"
Ogden spa,630-802-0284,"2956 ogden ave; Aurora, IL, 60504"
Asian Massage,541-900-4639,"1810 NW Garden Valley Blvd; Roseburg, OR, 97471"
Best Massage,513-912-7072,"36 W Village Green; Hicksville, NY, 11803"
Cozy Spa,408-996-1699,"1551 Saratoga Ave #B; San Jose, CA, 95129"
Sun Spa,706-340-2211,"47 Lakewood Dr; Hattiesburg, MS, 39402"
Harmony Massage,678-456-8048,"2130 Peachtree Pkwy Unit C; Cumming, GA, 30041"
DT Spa,408-528-7777,"2435 S King Rd #60; San Jose, CA, 95122"
Apple Spa,408-701-8841,"1692 Tully Rd #16; San Jose, CA, 95122"
Spray me Mystic,702-955-3802,"5000 w oakey blvd SUITE C1; Las Vegas, NV, 89146"
Perfect Chinese Massage,720-548-7199,"1552 W. Alameda Ave; Denver, CO, 80223"
Granite Bay Spa,916-791-6668,"8715 Auburn Folsom Rd; Granite Bay, CA, 95746"
Da Tong Shui,212-925-7878,"6 Allen St; New York City, NY, 10002"
Lucky spa,325-320-7744,"153 Tannehill Dr #A; Abilene, TX, 79602"
Green Spa Massage,312-966-2408 & 715-574-6107,"116 South 2nd St; Wausau, WI, 54403"
Flamingo 2 Massage,602-957-0946,"3051 E Thomas Rd; Phoenix, AZ, 85016"
Silver Spa,313-436-5821,"24200 Michigan Ave; Dearborn, MI, 48124"
Burnsville Bodyworks,310-895-6786,"2525 Cliff Road E; Burnsville, MN, 55337"
Venus SPA,813-443-4660,"3652 W. CYPRESS ST.; Tampa, FL, 33607"
New Asian Massage,312-866-9149,"110 Duff Ave; Ames, IA, 50010"
Nirvana Massage,808-636-7277,"1334 Young St; Honolulu, HI, 96814"
Pink Asian,212-537-6433,"37-24 24th St #223; Long Island City, NY, 11101"
Healthy Body Massage,714-392-1844,"6888 Lincoln Ave #J2; Buena Park, CA, 90620"
Smile Spa,316-303-9419,"916 S Broadway; Wichita, KS, 67211"
Truly Spa,702-685-1010,"252 Convention Center Dr #10; Las Vegas, NV, 89109"
Orient Massage,386-310-7999,"2525 W International Speedway Blvd; Daytona Beach, FL, 32114"
Capitol Day Spa,408-513-7151 & 408-824-5259,"459 S Capitol Ave, Suite 11; San Jose, CA, 95127"
DH Palace Spa,408-838-6973,"2489 Alvin Ave; San Jose, CA, 95121"
Shanghai Spa,206-328-6064,"1221 S Main St #102; Seattle, WA, 98114"
Panda Massage Spa,309-696-3705,"2812 Avenue of the Cities; Moline, IL, 61265"
Sweet Spa,646-249-1222,"824 49th Street; Brooklyn, NY, 11220"
Day Spa,920-405-6488,"550 N Military Ave #6; Green Bay, WI, 54303"
Bala Bala Asian Massage,848-469-0918,"38 Thoreau Dr.; Freehold, NJ, 07728"
May Body Work,412-583-8551,"1941 James St; Monroeville, PA, 15146"
Far East Massage,404-801-0586,"6234 Old Hwy 5 #D8; Woodstock, GA, 30188"
Body Craft,253-347-1106,"18122 E Valley Hwy; Kent, WA, 98032"
Relaxation Station,757-306-9177,"3786 Virginia Beach Blvd; Virginia Beach, VA, 23452"
Rainbow Spa,603-660-4910,"542 Mast Road; Goffstown, NH, 03045"
Spa 544,843-293-5757,"4620 Dick Pond Road Suite D; Myrtle Beach, SC, 29588"
Best Massage Therapy Spa,310-894-2751,"1540 Pacific Coast Hwy; Harbor City, CA, 90710"
123 Massage,626-442-8199,"9611 Garvey Ave #201; South El Monte, CA, 91733"
Hill Body Care,253-277-2386,"320 E Meeker St; Kent, WA, 98030"
Magic Spa and Massage,940-285-5558,"3308 Kemp Blvd, #3; Wichita Falls, TX, 76308"
Ban Thai Massage,559-348-9978,"4946 E Ashlan; Fresno, CA, 93726"
Asian Massage,831-295-3767,"510 Mission St; Santa Cruz, CA, 95060"
Rainbow Foot Massage,520-347-5488,"4677 E Speedway Blvd; Tucson, AZ, 85712"
Sun City Spa,917-963-5039,"80-50 Baxter Ave; Elmhurst, NY, 11373"
Sunshine Massage,385-223-9498,"186 west Center St; Orem, UT, 84057"
Magic Hand,346-704-6931,"6855 Harwin Dr Ste M2; Houston, TX, 77036"
New Foot Spa,718-704-8088,"4355 Hylan Blvd; Staten Island, NY, 10312"
Shack Shack,347-435-2676,"1 Old Fulton St; Brooklyn, NY, 11201"
JUJU SPA & MASSAGE,559-500-9946,"441 W Olive suite 102; Fresno, CA, 93728"
Yenny Spa 2,408-993-8673,"1659 W San Carlos Ave; San Jose, CA, 95128"
Ai Massage,253-981-6680 or 253-981-8860,"18119 E Valley Hwy, Suite 103; Kent, WA, 98032"
HI Thai Spa,702-980-3556,"3141 Sammy Davis Jr Dr; Las Vegas, NV, 89109"
Santa Teresa Aroma Therapy,323-593-9699,"11679 Atlantic Ave.; Lynwood, CA, 90262"
East Foot Spa,408-625-9163,"1671 N Capitol Ave; San Jose, CA, 95132"
Blue Sea Spa,972-907-1458,"1360 W Campbell Rd. Suite 118; Richardson, TX, 75080"
Seoul Spa and Sauna,860-904-5810,"134 Shield ST; West Hartford, CT, 06110"
Grace Spa,646-886-8280,"375 Mclean Ave #A; Yonkers, NY, 10704"
Tokyo Massage Center,702-222-1228,"5115 W Spring Mountain Rd, Suite 205; Las Vegas, NV, 89146"
101 Massage,314-550-7779,"15579 Manchester Road; Ballwin, MO, 63011"
Southbay Massage,619-621-6516,"2511 Coronado Ave #B-C; San Diego, CA, 92154"
Lacey Massage,360-918-8478,"1115 Sleater Kinney Rd; Lacey, WA, 98503"
493 Spa Body Work,718-799-3799,"493 7th Avenue; Brooklyn, NY, 11215"
Oriental Therapy,818-509-9188,"5140 Vineland Ave; North Hollywood, CA, 91601"
The Relaxation Station,559-485-2060,"1063 N Fulton St; Fresno, CA, 93728"
QQ Massage,626-350-8388,"3948 N Peck Rd; El Monte, CA, 91732"
Vitality Unlimited,843-553-3666,"8731 Northpark Blvd; North Charleston, SC, 29406"
Happy 9 Massage,408-943-8328,"790 Barber Ln; Milpitas, CA, 95035"
Asian Fantasy Bodywork,571-758-2727,"22365 Broderick Dr #1302; Sterling, VA, 20166"
Daisy Massage,562-860-7400,"11804 Centralia St; Lakewood, CA, 90715"
Asian Hotties,929-386-9699?,"80-30 Jamaica Ave; Woodhaven, NY, 11421"
July Massage,770-702-5108,"3342 Trickum Rd; Woodstock, GA, 30188"
Hong Kong Spa,347-468-0438,"150-13 Northern Blvd; Flushing, NY, 11354"
Moore Massage,763-313-9667,"1214 Moore Lake Dr E; Fridley, MN, 55432"
Tulip Spa,360-899-9369,"2025 Riverside Dr #D; Mount Vernon, WA, 98273"
Asian Massage,337-446-3389,"2512 Johnston st.; Lafayette, LA, 70503"
Ming Spa,815-319-1525,"120 N State Street; Belvidere, IL, 61008"
Yong Xin Tui-Na Center,646-203-6168,"1407 W 8th St; Brooklyn, NY, 11204"
Asian Massage,859-489-7211,"389 Waller Ave #120; Lexington, KY, 40504"
Thai Massage,512-993-5506,"13039 Pond Springs Rd; Austin, TX, 78728"
Orchid Spa,360-373-1783,"3331 Kitsap Way, Ste A; Bremerton, WA, 98312"
Sky Massage,714-886-2126 or 714-548-4952,"2625 W Lincoln; Anaheim, CA, 92807"
Longevity Foot Spa,408-446-4996,"1145 S De Anza Blvd; Cupertino, CA, 95129"
Beijing Foot Massage,619-208-3639,"589 3rd Ave; San Diego, CA, 92101"
Metrolina Spa,704-702-1082,"7316 Wallace Rd #A; Charlotte, NC, 28212"
North American Massage Institute,918-876-9518,"9942 E. 21st; Tulsa, OK, 74129"
Moonlight Spa,347-495-4276,"4312 8th Ave; Brooklyn, NY, 11220"
Pure Spa,815-788-6668,"709 E Golf Rd; Schaumburg, IL, 60173"
Asian Bodywork,347-379-2030,"345 Little Neck Pkwy; Little Neck, NY, 11362"
L Spa,346-401-4234,"1570 S Dairy Ashford Rd; Houston, TX, 77077"
Yu Spa,513-237-5116,"5964 Glenway Ave; Cincinnati, OH, 45238"
Western Spa Massage,323-463-2959,"463 N Western Ave; Los Angeles, CA, 90004"
Healthy Massage,815-922-3586,"1260 Larry Power Rd; Bourbonnais, IL, 60914"
Ace Spa,916-272-3343,"3811 Florin Rd #17; Sacramento, CA, 95822"
Sunbird Massage,661-493-0500,"1656 Oak Street, Suite A; Bakersfield, CA, 93301"
ABC Spa,831-521-7512,"145 Waverly Place; San Francisco, CA, 94108"
Apple Spa,858-490-6277,"1763 Garnett Ave; San Diego, CA, 92109"
A+ paradise,201-340-0730,"Broadway and 35; Astoria, NY, 11106"
Golden Spa,732-613-3747,"268 Main St; South River, NJ, 08882"
Massage Pointe,310-325-3690,"22519 Crenshaw Blvd; Torrance, CA, 90505"
Sunflower Spa,540-344-8877,"1110 E Washington Ave; Vinton, VA, 24179-1817"
Relaxation  Palace,757-226-9677,"4725 Virginia Beach Blvd; Virginia Beach, VA, 23462"
